"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"S2502_C01_001E","Estimate!!Occupied housing units!!Occupied housing units"
"S2502_C01_001EA","Annotation of Estimate!!Occupied housing units!!Occupied housing units"
"S2502_C01_001M","Margin of Error!!Occupied housing units MOE!!Occupied housing units"
"S2502_C01_001MA","Annotation of Margin of Error!!Occupied housing units MOE!!Occupied housing units"
"S2502_C01_002E","Estimate!!Occupied housing units!!Occupied housing units!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!One race --!!White"
"S2502_C01_002M","Margin of Error!!Occupied housing units MOE!!Occupied housing units!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!One race --!!White"
"S2502_C01_002MA","Annotation of Margin of Error!!Occupied housing units MOE!!Occupied housing units!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!One race --!!White"
"S2502_C01_002EA","Annotation of Estimate!!Occupied housing units!!Occupied housing units!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!One race --!!White"
"S2502_C01_003E","Estimate!!Occupied housing units!!Occupied housing units!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!One race --!!Black or African American"
"S2502_C01_003EA","Annotation of Estimate!!Occupied housing units!!Occupied housing units!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!One race --!!Black or African American"
"S2502_C01_003M","Margin of Error!!Occupied housing units MOE!!Occupied housing units!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!One race --!!Black or African American"
"S2502_C01_003MA","Annotation of Margin of Error!!Occupied housing units MOE!!Occupied housing units!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!One race --!!Black or African American"
"S2502_C01_004E","Estimate!!Occupied housing units!!Occupied housing units!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!One race --!!American Indian and Alaska Native"
"S2502_C01_004EA","Annotation of Estimate!!Occupied housing units!!Occupied housing units!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!One race --!!American Indian and Alaska Native"
"S2502_C01_004M","Margin of Error!!Occupied housing units MOE!!Occupied housing units!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!One race --!!American Indian and Alaska Native"
"S2502_C01_004MA","Annotation of Margin of Error!!Occupied housing units MOE!!Occupied housing units!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!One race --!!American Indian and Alaska Native"
"S2502_C01_005E","Estimate!!Occupied housing units!!Occupied housing units!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!One race --!!Asian"
"S2502_C01_005M","Margin of Error!!Occupied housing units MOE!!Occupied housing units!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!One race --!!Asian"
"S2502_C01_005MA","Annotation of Margin of Error!!Occupied housing units MOE!!Occupied housing units!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!One race --!!Asian"
"S2502_C01_005EA","Annotation of Estimate!!Occupied housing units!!Occupied housing units!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!One race --!!Asian"
"S2502_C01_006E","Estimate!!Occupied housing units!!Occupied housing units!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!One race --!!Native Hawaiian and Other Pacific Islander"
"S2502_C01_006M","Margin of Error!!Occupied housing units MOE!!Occupied housing units!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!One race --!!Native Hawaiian and Other Pacific Islander"
"S2502_C01_006MA","Annotation of Margin of Error!!Occupied housing units MOE!!Occupied housing units!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!One race --!!Native Hawaiian and Other Pacific Islander"
"S2502_C01_006EA","Annotation of Estimate!!Occupied housing units!!Occupied housing units!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!One race --!!Native Hawaiian and Other Pacific Islander"
"S2502_C01_007E","Estimate!!Occupied housing units!!Occupied housing units!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!One race --!!Some other race"
