"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"S0701PR_C01_001E","Estimate!!Total!!Population 1 year and over"
"S0701PR_C01_001M","Margin of Error!!Total!!Population 1 year and over"
"S0701PR_C01_001MA","Annotation of Margin of Error!!Total!!Population 1 year and over"
"S0701PR_C01_001EA","Annotation of Estimate!!Total!!Population 1 year and over"
"S0701PR_C01_002E","Estimate!!Total!!Population 1 year and over!!AGE!!1 to 4 years"
"S0701PR_C01_002M","Margin of Error!!Total!!Population 1 year and over!!AGE!!1 to 4 years"
"S0701PR_C01_002MA","Annotation of Margin of Error!!Total!!Population 1 year and over!!AGE!!1 to 4 years"
"S0701PR_C01_002EA","Annotation of Estimate!!Total!!Population 1 year and over!!AGE!!1 to 4 years"
"S0701PR_C01_003E","Estimate!!Total!!Population 1 year and over!!AGE!!5 to 17 years"
"S0701PR_C01_003EA","Annotation of Estimate!!Total!!Population 1 year and over!!AGE!!5 to 17 years"
"S0701PR_C01_003M","Margin of Error!!Total!!Population 1 year and over!!AGE!!5 to 17 years"
"S0701PR_C01_003MA","Annotation of Margin of Error!!Total!!Population 1 year and over!!AGE!!5 to 17 years"
"S0701PR_C01_004E","Estimate!!Total!!Population 1 year and over!!AGE!!18 to 24 years"
"S0701PR_C01_004M","Margin of Error!!Total!!Population 1 year and over!!AGE!!18 to 24 years"
"S0701PR_C01_004MA","Annotation of Margin of Error!!Total!!Population 1 year and over!!AGE!!18 to 24 years"
"S0701PR_C01_004EA","Annotation of Estimate!!Total!!Population 1 year and over!!AGE!!18 to 24 years"
"S0701PR_C01_005E","Estimate!!Total!!Population 1 year and over!!AGE!!25 to 34 years"
"S0701PR_C01_005M","Margin of Error!!Total!!Population 1 year and over!!AGE!!25 to 34 years"
"S0701PR_C01_005MA","Annotation of Margin of Error!!Total!!Population 1 year and over!!AGE!!25 to 34 years"
"S0701PR_C01_005EA","Annotation of Estimate!!Total!!Population 1 year and over!!AGE!!25 to 34 years"
"S0701PR_C01_006E","Estimate!!Total!!Population 1 year and over!!AGE!!35 to 44 years"
"S0701PR_C01_006M","Margin of Error!!Total!!Population 1 year and over!!AGE!!35 to 44 years"
"S0701PR_C01_006MA","Annotation of Margin of Error!!Total!!Population 1 year and over!!AGE!!35 to 44 years"
"S0701PR_C01_006EA","Annotation of Estimate!!Total!!Population 1 year and over!!AGE!!35 to 44 years"
"S0701PR_C01_007E","Estimate!!Total!!Population 1 year and over!!AGE!!45 to 54 years"
"S0701PR_C01_007M","Margin of Error!!Total!!Population 1 year and over!!AGE!!45 to 54 years"
"S0701PR_C01_007MA","Annotation of Margin of Error!!Total!!Population 1 year and over!!AGE!!45 to 54 years"
"S0701PR_C01_007EA","Annotation of Estimate!!Total!!Population 1 year and over!!AGE!!45 to 54 years"
"S0701PR_C01_008E","Estimate!!Total!!Population 1 year and over!!AGE!!55 to 64 years"
"S0701PR_C01_008M","Margin of Error!!Total!!Population 1 year and over!!AGE!!55 to 64 years"
"S0701PR_C01_008MA","Annotation of Margin of Error!!Total!!Population 1 year and over!!AGE!!55 to 64 years"
"S0701PR_C01_008EA","Annotation of Estimate!!Total!!Population 1 year and over!!AGE!!55 to 64 years"
"S0701PR_C01_009E","Estimate!!Total!!Population 1 year and over!!AGE!!65 to 74 years"
"S0701PR_C01_009M","Margin of Error!!Total!!Population 1 year and over!!AGE!!65 to 74 years"
"S0701PR_C01_009MA","Annotation of Margin of Error!!Total!!Population 1 year and over!!AGE!!65 to 74 years"
"S0701PR_C01_009EA","Annotation of Estimate!!Total!!Population 1 year and over!!AGE!!65 to 74 years"
"S0701PR_C01_010E","Estimate!!Total!!Population 1 year and over!!AGE!!75 years and over"
"S0701PR_C01_010EA","Annotation of Estimate!!Total!!Population 1 year and over!!AGE!!75 years and over"
"S0701PR_C01_010M","Margin of Error!!Total!!Population 1 year and over!!AGE!!75 years and over"
"S0701PR_C01_010MA","Annotation of Margin of Error!!Total!!Population 1 year and over!!AGE!!75 years and over"
"S0701PR_C01_011E","Estimate!!Total!!Population 1 year and over!!AGE!!Median age (years)"
"S0701PR_C01_011M","Margin of Error!!Total!!Population 1 year and over!!AGE!!Median age (years)"
