"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"S2504_C01_001E","Estimate!!Occupied housing units!!Occupied housing units"
"S2504_C01_001EA","Annotation of Estimate!!Occupied housing units!!Occupied housing units"
"S2504_C01_001M","Margin of Error!!Occupied housing units!!Occupied housing units"
"S2504_C01_001MA","Annotation of Margin of Error!!Occupied housing units!!Occupied housing units"
"S2504_C01_002E","Estimate!!Occupied housing units!!Occupied housing units!!UNITS IN STRUCTURE!!1, detached"
"S2504_C01_002EA","Annotation of Estimate!!Occupied housing units!!Occupied housing units!!UNITS IN STRUCTURE!!1, detached"
"S2504_C01_002M","Margin of Error!!Occupied housing units!!Occupied housing units!!UNITS IN STRUCTURE!!1, detached"
"S2504_C01_002MA","Annotation of Margin of Error!!Occupied housing units!!Occupied housing units!!UNITS IN STRUCTURE!!1, detached"
"S2504_C01_003E","Estimate!!Occupied housing units!!Occupied housing units!!UNITS IN STRUCTURE!!1, attached"
"S2504_C01_003EA","Annotation of Estimate!!Occupied housing units!!Occupied housing units!!UNITS IN STRUCTURE!!1, attached"
"S2504_C01_003M","Margin of Error!!Occupied housing units!!Occupied housing units!!UNITS IN STRUCTURE!!1, attached"
"S2504_C01_003MA","Annotation of Margin of Error!!Occupied housing units!!Occupied housing units!!UNITS IN STRUCTURE!!1, attached"
"S2504_C01_004E","Estimate!!Occupied housing units!!Occupied housing units!!UNITS IN STRUCTURE!!2 apartments"
"S2504_C01_004M","Margin of Error!!Occupied housing units!!Occupied housing units!!UNITS IN STRUCTURE!!2 apartments"
"S2504_C01_004MA","Annotation of Margin of Error!!Occupied housing units!!Occupied housing units!!UNITS IN STRUCTURE!!2 apartments"
"S2504_C01_004EA","Annotation of Estimate!!Occupied housing units!!Occupied housing units!!UNITS IN STRUCTURE!!2 apartments"
"S2504_C01_005E","Estimate!!Occupied housing units!!Occupied housing units!!UNITS IN STRUCTURE!!3 or 4 apartments"
"S2504_C01_005M","Margin of Error!!Occupied housing units!!Occupied housing units!!UNITS IN STRUCTURE!!3 or 4 apartments"
"S2504_C01_005MA","Annotation of Margin of Error!!Occupied housing units!!Occupied housing units!!UNITS IN STRUCTURE!!3 or 4 apartments"
"S2504_C01_005EA","Annotation of Estimate!!Occupied housing units!!Occupied housing units!!UNITS IN STRUCTURE!!3 or 4 apartments"
"S2504_C01_006E","Estimate!!Occupied housing units!!Occupied housing units!!UNITS IN STRUCTURE!!5 to 9 apartments"
"S2504_C01_006M","Margin of Error!!Occupied housing units!!Occupied housing units!!UNITS IN STRUCTURE!!5 to 9 apartments"
"S2504_C01_006MA","Annotation of Margin of Error!!Occupied housing units!!Occupied housing units!!UNITS IN STRUCTURE!!5 to 9 apartments"
"S2504_C01_006EA","Annotation of Estimate!!Occupied housing units!!Occupied housing units!!UNITS IN STRUCTURE!!5 to 9 apartments"
"S2504_C01_007E","Estimate!!Occupied housing units!!Occupied housing units!!UNITS IN STRUCTURE!!10 or more apartments"
"S2504_C01_007M","Margin of Error!!Occupied housing units!!Occupied housing units!!UNITS IN STRUCTURE!!10 or more apartments"
"S2504_C01_007MA","Annotation of Margin of Error!!Occupied housing units!!Occupied housing units!!UNITS IN STRUCTURE!!10 or more apartments"
"S2504_C01_007EA","Annotation of Estimate!!Occupied housing units!!Occupied housing units!!UNITS IN STRUCTURE!!10 or more apartments"
"S2504_C01_008E","Estimate!!Occupied housing units!!Occupied housing units!!UNITS IN STRUCTURE!!Mobile home or other type of housing"
"S2504_C01_008EA","Annotation of Estimate!!Occupied housing units!!Occupied housing units!!UNITS IN STRUCTURE!!Mobile home or other type of housing"
"S2504_C01_008M","Margin of Error!!Occupied housing units!!Occupied housing units!!UNITS IN STRUCTURE!!Mobile home or other type of housing"
"S2504_C01_008MA","Annotation of Margin of Error!!Occupied housing units!!Occupied housing units!!UNITS IN STRUCTURE!!Mobile home or other type of housing"
"S2504_C01_009E","Estimate!!Occupied housing units!!Occupied housing units!!YEAR STRUCTURE BUILT!!2020 or later"
"S2504_C01_009EA","Annotation of Estimate!!Occupied housing units!!Occupied housing units!!YEAR STRUCTURE BUILT!!2020 or later"
"S2504_C01_009M","Margin of Error!!Occupied housing units!!Occupied housing units!!YEAR STRUCTURE BUILT!!2020 or later"
