"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"S0101_C01_001E","Total!!Estimate!!Total population"
"S0101_C01_001EA","Annotation of Total!!Estimate!!Total population"
"S0101_C01_001M","Total!!Margin of Error!!Total population"
"S0101_C01_001MA","Annotation of Total!!Margin of Error!!Total population"
"S0101_C02_001E","Percent!!Estimate!!Total population"
"S0101_C02_001M","Percent!!Margin of Error!!Total population"
"S0101_C02_001MA","Annotation of Percent!!Margin of Error!!Total population"
"S0101_C02_001EA","Annotation of Percent!!Estimate!!Total population"
"S0101_C03_001E","Male!!Estimate!!Total population"
"S0101_C03_001EA","Annotation of Male!!Estimate!!Total population"
"S0101_C03_001M","Male!!Margin of Error!!Total population"
"S0101_C03_001MA","Annotation of Male!!Margin of Error!!Total population"
"S0101_C04_001E","Percent Male!!Estimate!!Total population"
"S0101_C04_001EA","Annotation of Percent Male!!Estimate!!Total population"
"S0101_C04_001M","Percent Male!!Margin of Error!!Total population"
"S0101_C04_001MA","Annotation of Percent Male!!Margin of Error!!Total population"
"S0101_C05_001E","Female!!Estimate!!Total population"
"S0101_C05_001EA","Annotation of Female!!Estimate!!Total population"
"S0101_C05_001M","Female!!Margin of Error!!Total population"
"S0101_C05_001MA","Annotation of Female!!Margin of Error!!Total population"
"S0101_C06_001E","Percent Female!!Estimate!!Total population"
"S0101_C06_001EA","Annotation of Percent Female!!Estimate!!Total population"
"S0101_C06_001M","Percent Female!!Margin of Error!!Total population"
"S0101_C06_001MA","Annotation of Percent Female!!Margin of Error!!Total population"
"S0101_C01_002E","Total!!Estimate!!AGE!!Under 5 years"
"S0101_C01_002EA","Annotation of Total!!Estimate!!AGE!!Under 5 years"
"S0101_C01_002M","Total!!Margin of Error!!AGE!!Under 5 years"
"S0101_C01_002MA","Annotation of Total!!Margin of Error!!AGE!!Under 5 years"
"S0101_C02_002E","Percent!!Estimate!!AGE!!Under 5 years"
"S0101_C02_002M","Percent!!Margin of Error!!AGE!!Under 5 years"
"S0101_C02_002MA","Annotation of Percent!!Margin of Error!!AGE!!Under 5 years"
"S0101_C02_002EA","Annotation of Percent!!Estimate!!AGE!!Under 5 years"
"S0101_C03_002E","Male!!Estimate!!AGE!!Under 5 years"
"S0101_C03_002EA","Annotation of Male!!Estimate!!AGE!!Under 5 years"
"S0101_C03_002M","Male!!Margin of Error!!AGE!!Under 5 years"
"S0101_C03_002MA","Annotation of Male!!Margin of Error!!AGE!!Under 5 years"
"S0101_C04_002E","Percent Male!!Estimate!!AGE!!Under 5 years"
"S0101_C04_002M","Percent Male!!Margin of Error!!AGE!!Under 5 years"
"S0101_C04_002MA","Annotation of Percent Male!!Margin of Error!!AGE!!Under 5 years"
"S0101_C04_002EA","Annotation of Percent Male!!Estimate!!AGE!!Under 5 years"
"S0101_C05_002E","Female!!Estimate!!AGE!!Under 5 years"
"S0101_C05_002EA","Annotation of Female!!Estimate!!AGE!!Under 5 years"
"S0101_C05_002M","Female!!Margin of Error!!AGE!!Under 5 years"
"S0101_C05_002MA","Annotation of Female!!Margin of Error!!AGE!!Under 5 years"
"S0101_C06_002E","Percent Female!!Estimate!!AGE!!Under 5 years"
"S0101_C06_002EA","Annotation of Percent Female!!Estimate!!AGE!!Under 5 years"
"S0101_C06_002M","Percent Female!!Margin of Error!!AGE!!Under 5 years"
"S0101_C06_002MA","Annotation of Percent Female!!Margin of Error!!AGE!!Under 5 years"
"S0101_C01_003E","Total!!Estimate!!AGE!!5 to 9 years"
"S0101_C01_003EA","Annotation of Total!!Estimate!!AGE!!5 to 9 years"
"S0101_C01_003M","Total!!Margin of Error!!AGE!!5 to 9 years"
"S0101_C01_003MA","Annotation of Total!!Margin of Error!!AGE!!5 to 9 years"
"S0101_C02_003E","Percent!!Estimate!!AGE!!5 to 9 years"
"S0101_C02_003EA","Annotation of Percent!!Estimate!!AGE!!5 to 9 years"
"S0101_C02_003M","Percent!!Margin of Error!!AGE!!5 to 9 years"
"S0101_C02_003MA","Annotation of Percent!!Margin of Error!!AGE!!5 to 9 years"
"S0101_C03_003E","Male!!Estimate!!AGE!!5 to 9 years"
"S0101_C03_003EA","Annotation of Male!!Estimate!!AGE!!5 to 9 years"
